,imdbId,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Actor10
56,116126,Shawn Wayans,Marlon Wayans,Tracey Cherelle Jones,Chris Spencer,Suli McCullough,Darrel Heath,Helen Martin,Isaiah Barnes,Lahmard J. Tate,Keenen Ivory Wayans
57,118002,Denis Leary,Sandra Bullock,Stephen Dillane,Yaphet Kotto,Mike Starr,Jonathan Tucker,Wayne Robson,Michael Badalucco,Lenny Clarke,Jonny Fido
58,115683,William Atherton,Denise Dowse,Dara Tomanovich,Kevin West,Kylie Minogue,Pauly Shore,Stephen Baldwin,Joey Lauren Adams,Teresa Hill,Patricia Hearst
59,116839,Patrick Bergin,Matt Frewer,Austin O'Brien,Ely Pouget,Camille Cooper,Patrick LaBrecque,Crystal Celeste Grant,Sean P. Young,Mathew Valencia,Kevin Conway
60,113149,Victoria Abril,Josiane Balasko,Alain Chabat,Ticky Holgado,Catherine Hiegel,Catherine Samie,Catherine Lachens,Katrine Boorman,Telsche Boorman,Véronique Barrault
61,113118,Ice Cube,Chris Tucker,Nia Long,Tom Lister Jr.,John Witherspoon,Anna Maria Horsford,Regina King,Paula Jai Parker,Faizon Love,DJ Pooh
62,116367,George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Ernest Liu,Salma Hayek,Cheech Marin,Danny Trejo,Tom Savini,Fred Williamson
63,113010,William Baldwin,Cindy Crawford,Steven Berkoff,Christopher McDonald,Miguel Sandoval,Johann Carlo,Salma Hayek,John Bedford Lloyd,Olek Krupa,Jenette Goldstein
64,113537,Josh Hamilton,Samuel Gould,Catherine Kellner,Jonathan Baumbach,John Lehr,Olivia d'Abo,Peter Czernin,Carlos Jacott,Chris Eigeman,Eric Stoltz
65,113828,Jean-Paul Belmondo,Michel Boujenah,Alessandra Martines,Salomé Lelouch,Annie Girardot,Philippe Léotard,Clémentine Célarié,Philippe Khorsand,Ticky Holgado,Rufus
66,115644,Christian Slater,Mary Stuart Masterson,Pamela Adlon,Josh Brolin,Brian Tarantina,Debra Monk,Mary Alice,Kenneth Cranham,Ally Walker,Anne Pitoniak
67,115676,Rick Moranis,Tom Arnold,Julianne Phillips,Carol Kane,Jeffrey Tambor,Curtis Armstrong,Faith Prince,Tony Pierce,Don Knotts,Blake Bashoff
68,114367,Peter Weller,Roy Dupuis,Jennifer Rubin,Andy Lauer,Charles Edwin Powell,Ron White,Michael Caloz,Liliana Komorowska,Jason Cavalier,Leni Parker
69,113973,Nico,Tina Aumont,Christian Päffgen,Edith Boulogne,Jackson Browne,John Cale,Danny Fields,Carlos De Maldonado-Bostock,Jonas Mekas,Paul Morrissey
70,112744,Jack Nicholson,David Morse,Anjelica Huston,Robin Wright,Piper Laurie,Richard Bradford,Priscilla Barnes,David Baerwald,Robbie Robertson,John Savage
71,116731,Demi Moore,Alec Baldwin,Joseph Gordon-Levitt,James Gandolfini,Lindsay Crouse,Anne Heche,Tony Lo Bianco,Michael Constantine,Matt Craven,Todd Susman
72,112445,Aida Mohammadkhani,Mohsen Kafili,Fereshteh Sadre Orafaiy,Anna Borkowska,Mohammad Shahani,Mohammed Bakhtiar,Aliasghar Smadi,Hamidreza Tahery,Asghar Barzegar,Hasan Neamatolahi
73,114660,Andy Garcia,Christopher Lloyd,William Forsythe,Bill Nunn,Treat Williams,Jack Warden,Steve Buscemi,Fairuza Balk,Gabrielle Anwar,Christopher Walken
74,112379,Willeke van Ammelrooy,Els Dottermans,Dora van der Groen,Veerle van Overloop,Esther Vriesendorp,Carolien Spoor,Thyrza Ravesteijn,Mil Seghers,Jan Decleir,Elsie de Brauw
75,114039,Al Freeman Jr.,Phylicia Rashad,Leon,Paula Kelly,Salli Richardson-Whitfield,Anna Maria Horsford,Bernie Casey,Isaac Hayes,Ray J,Karen Malina White
76,112365,Mark Rylance,Kristin Scott Thomas,Patsy Kensit,Jeremy Kemp,Douglas Henshall,Annette Badland,Chris Larkin,Anna Massey,Saskia Wickham,Lindsay Thomas
77,118158,Jeff Bridges,Caroline Goodall,John Savage,Scott Wolf,Jeremy Sisto,Ryan Phillippe,David Lascher,Eric Michael Cole,Jason Marsden,David Selby
78,116151,Jason Alexander,Faye Dunaway,Eric Lloyd,Rupert Everett,Graham Sack,Paul Reubens,Glenn Shadix,Nathan Davis,Jennifer Bassey,Judith Scott
79,115697,Chris Farley,David Spade,Tim Matheson,Christine Ebersole,Gary Busey,Grant Heslov,Timothy Carhart,Bruce McGill,Michael Patrick Carter,Boyd Banks
80,113972,Johnny Depp,Courtney Chase,Charles S. Dutton,Christopher Walken,Roma Maffia,Marsha Mason,Peter Strauss,Gloria Reuben,Bill Smitrovich,G.D. Spradlin
81,117002,Julia Roberts,John Malkovich,George Cole,Michael Gambon,Kathy Staff,Glenn Close,Michael Sheen,Bronagh Gallagher,Linda Bassett,Henry Goodman
82,114825,Eddie Murphy,Angela Bassett,Allen Payne,Kadeem Hardison,John Witherspoon,Zakes Mokae,Joanna Cassidy,Simbi Kali,Messiri Freeman,Kelly Cinnante
83,115639,Matt Dillon,Noah Emmerich,Annabeth Gish,Lauren Holly,Timothy Hutton,Rosie O'Donnell,Max Perlich,Martha Plimpton,Natalie Portman,Michael Rapaport
84,115759,John Travolta,Christian Slater,Samantha Mathis,Delroy Lindo,Bob Gunton,Frank Whaley,Howie Long,Vondie Curtis-Hall,Jack Thompson,Vyto Ruginis
85,113403,Richard Briers,Hetta Charnley,Joan Collins,Nicholas Farrell,Mark Hadfield,Gerard Horan,Celia Imrie,Michael Maloney,Jennifer Saunders,Julia Sawalha
86,113247,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Solo,Joseph Momo,Héloïse Rauth,Rywka Wajsbrot,Olga Abrego,Laurent Labasse
87,113283,Nick Broomfield,Nina Xining Zuo,Madam Alex,Corinne Bohrer,Mike Brambles,Cookie,Elisa Fleiss,Heidi Fleiss,Jason Fleiss,Jesse Fleiss
88,115907,Al Pacino,John Cusack,Bridget Fonda,Danny Aiello,Martin Landau,David Paymer,Anthony Franciosa,Richard Schiff,Lindsay Duncan,Nestor Serrano
89,115734,Luke Wilson,Owen Wilson,Ned Dowd,Shea Fowler,Haley Miller,Robert Musgrave,Andrew Wilson,Brian Tenenbaum,Jenni Tooley,Temple Nash
90,117102,Ellen DeGeneres,Bill Pullman,Joan Cusack,Dean Stockwell,Joan Plowright,John Livingston,Robert Goulet,Ellen Cleghorne,Hope Davis,Brad William Henke
91,118040,Ray Liotta,Linda Fiorentino,Peter Coyote,Christopher McDonald,David Paymer,Duncan Fraser,Caroline Elliott,Colleen Rennison,Kim Cattrall,Stellina Rusich
92,116483,Adam Sandler,Christopher McDonald,Julie Bowen,Frances Bay,Carl Weathers,Allen Covert,Robert Smigel,Bob Barker,Richard Kiel,Dennis Dugan
93,112579,Clint Eastwood,Meryl Streep,Annie Corley,Victor Slezak,Jim Haynie,Sarah Zahn,Christopher Kroon,Phyllis Lyons,Debra Monk,Richard Lage
94,110251,Maria Schrader,Pierre Sanoussi-Bliss,Michael von Au,Elisabeth Trissenaar,Ingo Naujoks,Joachim Król,Peggy Parnass,Lorose Keller,Anya Hoffmann,Erwin Grosche
95,117110,Tim Curry,Billy Connolly,Jennifer Saunders,Kevin Bishop,Dave Goelz,Steve Whitmire,Jerry Nelson,Kevin Clash,Bill Barretta,Frank Oz
96,112646,Christy Turlington,Azzedine Alaïa,Giorgio Armani,Nadja Auermann,Sandra Bernhard,Kate Betts,Brandi,Carla Bruni,Naomi Campbell,Nino Cerruti
97,112573,James Robinson,Sean Lawlor,Sandy Nelson,James Cosmo,Sean McGinley,Alan Tall,Andrew Weir,Gerda Stevenson,Ralph Riach,Mhairi Calvey
98,75314,Diahnne Abbott,Frank Adu,Victor Argo,Gino Ardito,Garth Avery,Peter Boyle,Albert Brooks,Harry Cohn,Copper Cunningham,Robert De Niro
99,113326,Jackie Chan,Anita Mui,Françoise Yip,Bill Tung,Marc Akerstream,Garvin Cross,Morgan Lam,Ailen Sit,Man-Ching Chan,Fred Andrucci
100,115645,Meryl Streep,Liam Neeson,Edward Furlong,Julia Weldon,Alfred Molina,Daniel von Bargen,John Heard,Ann Magnuson,Alison Folland,Kaiulani Lee
101,112373,Isa Baschwitz,Mary Bos,Kenneth Branagh,Janny Brandes-Brilslijper,Glenn Close,Rose De Liema,Sal De Liema,Buddy Elias,Bloeme Evers,Alice Frank
102,115033,Tobias Arnold,Ruth Sheen,Roger Lloyd Pack,Hugh O'Conor,Norman Caro,Dorothea Alexander,Charlotte Coleman,Paul Stacey,Samantha Edmonds,Robert Demeger
103,116606,Sarah Jessica Parker,Eric Schaeffer,Ben Stiller,Elle Macpherson,James Rebhorn,Robert John Burke,David Thornton,Bill Sage,Dominic Chianese,Scarlett Johansson
104,114536,Andy Garcia,Alan Arkin,Rachel Ticotin,Joe Pantoliano,Holland Taylor,Ally Walker,David Ogden Stiers,Charles Rocket,Richard Bradford,Kevin McCarthy
105,106473,Henry Czerny,Johnny Morina,Brian Dooley,Philip Dinn,Brian Dodd,Ashley Billard,Jeremy Keefe,Jonathan Lewis,Michael Wade,Greg Thomey
106,103859,Eddie Murphy,Robin Givens,Halle Berry,David Alan Grier,Martin Lawrence,Grace Jones,Geoffrey Holder,Eartha Kitt,Chris Rock,Tisha Campbell
107,109424,Brigitte Lin,Tony Leung Chiu-wai,Faye Wong,Takeshi Kaneshiro,Valerie Chow,Piggy Chan,Lee-Na Kwan,Zhiming Huang,Liang Zhen,Songshen Zuo
108,116324,Ben Stiller,Patricia Arquette,Téa Leoni,Mary Tyler Moore,George Segal,Alan Alda,Lily Tomlin,Richard Jenkins,Josh Brolin,Celia Weston
109,110647,Jason James Richter,Melody Kay,Jack Black,Carole Finn,Ryan Bollman,Freddie Jones,Julie Cox,Moya Brady,Tony Robinson,Thomas Petruo
110,110217,Maggie Cogan,Katina Pendleton,,,,,,,,
111,114131,Josh Charles,Anne Heche,John Goodman,Christine Lahti,Christine Ebersole,Peter Riegert,Dey Young,Bob Balaban,Wil Wheaton,Jesse Stock
112,113451,David Caruso,Linda Fiorentino,Chazz Palminteri,Richard Crenna,Michael Biehn,Donna Murphy,Ken King,Holt McCallany,David Hunt,Angie Everhart
113,116130,Kelsey Grammer,Lauren Holly,Rob Schneider,Harry Dean Stanton,Bruce Dern,William H. Macy,Ken Hudson Campbell,Toby Huss,Duane Martin,Jonathan Penner
114,113756,Vivian Paxton,Claudette Sutherland,Michael Ornstein,Cal Bartlett,Mary Stein,Dirk Shafer,Beth Broderick,Cynthia Szigeti,Dennis Bailey,Charles Sloane
115,118055,Robert Redford,Michelle Pfeiffer,Stockard Channing,Joe Mantegna,Kate Nelligan,Glenn Plummer,James Rebhorn,Scott Bryce,Raymond Cruz,Dedee Pfeiffer
116,115685,Robin Williams,Gene Hackman,Nathan Lane,Dianne Wiest,Dan Futterman,Calista Flockhart,Hank Azaria,Christine Baranski,Tom McGowan,Grant Heslov
117,112585,Shari Albert,Maxine Bahns,Catharine Bolz,Connie Britton,Edward Burns,Peter Johansen,Jennifer Jostyn,Michael McGlone,Elizabeth McKay,Jack Mulcahy
118,112442,Lisa Boyle,Michael Taliferro,Emmanuel Xuereb,Tchéky Karyo,Marc Macaulay,Ralph Gonzalez,Vic Manni,Frank John Hughes,Mike Kirton,Martin Lawrence
119,112342,Stephen Lang,Ryan Slater,Yi Ding,Wang Fei,Zhou Jian Zhong,Yao Er Ga,O Mi Jia Can,Cheu Gang,He Yu,Yeh Hui
120,112461,Leonardo DiCaprio,Lorraine Bracco,Marilyn Sokol,James Madio,Patrick McGaw,Mark Wahlberg,Roy Cooper,Vincent Pastore,Bruno Kirby,Jimmy Papiris
121,112427,Alan Rickman,Hugh Grant,Georgina Cates,Alun Armstrong,Peter Firth,Prunella Scales,Rita Tushingham,Alan Cox,Edward Petherbridge,Nicola Pagett
122,109093,Isabelle Huppert,Martin Donovan,Elina Löwensohn,Damian Young,Chuck Montgomery,Dave Simonds,Pamela Stewart,Erica Gimpel,Jan Leslie Harding,Terry Alexander
123,112384,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,Ed Harris,Kathleen Quinlan,Mary Kate Schellhardt,Emily Ann Lloyd,Miko Hughes,Max Elliott Slade
124,114287,Liam Neeson,Jessica Lange,John Hurt,Tim Roth,Eric Stoltz,Andrew Keir,Brian Cox,Brian McCardie,Gilbert Martin,Vicki Masson
125,112288,Lili Taylor,Christopher Walken,Annabella Sciorra,Edie Falco,Paul Calderon,Fredro Starr,Kathryn Erbe,Michael Imperioli,Jamal Simmons,Robert W. Castle
126,112462,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,Chris O'Donnell,Michael Gough,Pat Hingle,Drew Barrymore,Debi Mazar,Elizabeth Sanders
127,61395,Catherine Deneuve,Jean Sorel,Michel Piccoli,Geneviève Page,Pierre Clémenti,Françoise Fabian,Macha Méril,Muni,Maria Latour,Claude Cerval
128,112495,Patricia Arquette,U Aung Ko,Frances McDormand,Spalding Gray,Tiara Jacquelina,Kuswadinata,Victor Slezak,Jit Murad,Ye Myint,Cho Cho Myint
129,112541,Lou Reed,Michael J. Fox,Roseanne Barr,Mel Gorham,Jim Jarmusch,Lily Tomlin,Jared Harris,Giancarlo Esposito,Malik Yoba,José Zúñiga
130,109370,John Candy,Alan Alda,Rhea Perlman,Kevin Pollak,Rip Torn,Kevin J. O'Connor,Bill Nunn,G.D. Spradlin,Steven Wright,Jim Belushi
131,112642,Chauncey Leopardi,Spencer Vrooman,Malachi Pearson,Cathy Moriarty,Eric Idle,Ben Stein,Don Novello,Fred Rogers,Terry Murphy,Bill Pullman
132,112688,Harvey Keitel,John Turturro,Delroy Lindo,Mekhi Phifer,Isaiah Washington,Keith David,Peewee Love,Regina Taylor,Thomas Jefferson Byrd,Sticky Fingaz
133,112715,Laura Linney,Dylan Walsh,Ernie Hudson,Tim Curry,Grant Heslov,Joe Don Baker,Lola Noh,Mary Ellen Trainor,Misty Rosas,Stuart Pankin
134,112740,Denzel Washington,Gene Hackman,Matt Craven,George Dzundza,Viggo Mortensen,James Gandolfini,Rocky Carroll,Jaime Gomez,Michael Milhoan,Scott Burkholder
135,109508,Robert Crumb,Aline Kominsky-Crumb,Charles Crumb,Maxon Crumb,Robert Hughes,Martin Muller,Don Donahue,Dana Morgan,Trina Robbins,Spain Rodriguez
136,112851,Antonio Banderas,Salma Hayek,Joaquim de Almeida,Cheech Marin,Steve Buscemi,Carlos Gómez,Quentin Tarantino,Tito Larriva,Angel Aviles,Danny Trejo
137,112857,Denzel Washington,Tom Sizemore,Jennifer Beals,Don Cheadle,Maury Chaykin,Terry Kinney,Mel Winkler,Albert Hall,Lisa Nicole Carson,Jernard Burks
138,112864,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,Colleen Camp,Larry Bryggman,Anthony Peck,Nick Wyman,Sam Phillips,Kevin Chamberlin
139,112887,James Duval,Rose McGowan,Johnathon Schaech,Cress Williams,Skinny Puppy,Dustin Nguyen,Margaret Cho,Lauren Tewes,Christopher Knight,Nicky Katt
140,113071,Sean Connery,Richard Gere,Julia Ormond,Ben Cross,Liam Cunningham,Christopher Villiers,Valentine Pelka,Colin McCormack,Ralph Ineson,John Gielgud
141,113114,Jason James Richter,Francis Capra,Mary Kate Schellhardt,August Schellenberg,Michael Madsen,Jayne Atkinson,Mykelti Williamson,Elizabeth Peña,Jon Tenney,Paul Tuerpe
142,113243,Jonny Lee Miller,Angelina Jolie,Jesse Bradford,Matthew Lillard,Laurence Mason,Renoly Santiago,Fisher Stevens,Alberta Watson,Darren Lee,Peter Kim
143,113464,Steven Weber,Peter Jacobson,Tom Cayler,David Thornton,Lee Mark Nelson,John Ganun,Michael T. Weiss,Joe Dain,Jeffrey Ross,Irma St. Paule
144,113481,Keanu Reeves,Dina Meyer,Ice-T,Takeshi Kitano,Denis Akiyama,Dolph Lundgren,Henry Rollins,Barbara Sukowa,Udo Kier,Tracy Tweed
145,113492,Sylvester Stallone,Armand Assante,Rob Schneider,Jürgen Prochnow,Max von Sydow,Diane Lane,Joanna Miles,Joan Chen,Balthazar Getty,Maurice Roëves
146,113500,Pauly Shore,Tia Carrere,Stanley Tucci,Brian Doyle-Murray,Abe Vigoda,Charles Napier,Richard Edson,Richard Riehle,Alex Datcher,Richard T. Jones
147,113540,Leo Fitzpatrick,Sarah Henderson,Justin Pierce,Joseph Chan,Johnathan Staci Kim,Adriane Brown,Sajan Bhagat,Billy Valdes,Billy Waldeman,Javier Nunez
148,113677,Steve Buscemi,Catherine Keener,Dermot Mulroney,Danielle von Zerneck,James Le Gros,Rica Martens,Peter Dinklage,Kevin Corrigan,Hilary Gilford,Robert Wightman
149,113690,J. Trevor Edmond,Daniel von Bargen,Kevin J. O'Connor,Joseph Latimore,Sheila Tousey,Susan Traylor,Ashley Tesoro,Michael Angelo Stuno,Keith Brunsmann,Barbara Patrick
150,107447,Thomas Gibson,Ruth Marshall,Cameron Bancroft,Mia Kirshner,Joanne Vannicola,Matthew Ferguson,Rick Roberts,Aidan Devine,Robert Higden,Sylvain Morin
151,113729,Chris O'Donnell,Drew Barrymore,Matthew Lillard,Richard Chaim,Robert Nadir,Joan Allen,Jude Ciccolella,Amy Sakasitz,T.J. Lowther,Kevin Dunn
152,113749,Shannen Doherty,Jeremy London,Jason Lee,Claire Forlani,Ben Affleck,Joey Lauren Adams,Renée Humphrey,Jason Mewes,Ethan Suplee,Stan Lee
